D,asciiquarium,terminal screensaver
D,bash-pipes,terminal screensaver
D,cli-visualizer,music/audio visualizer
D,cmatrix,terminal screensaver
D,figlet,text decoration
D,htop-vim-git,system info
D,neofetch,system stats
D,projectm-pulseaudio,music/audio visualizer
D,screenfetch,system stats

T,transmission-cli,torrent
T,transmission-remote-cli-git,torrent interface

L,libreoffice-fresh,office suite

X,biber,LaTeX references
X,texlive-lang,LaTeX packages
X,texlive-most,LaTeX packages

B,blender,video modification and modelling

G,gimp,image modification

F,noto-fonts-cjk,East Asian fonts
F,ttf-ancient-fonts,rare and ancient fonts

E,neomutt,email client
E,notmuch,email system (indexing and search)
E,notmuch-mutt,email system (indexing and search)
E,offlineimap,email system (mail sync)

P,pandoc,file conversion
P,pandoc-citeproc,citations through pandoc

R,r,statistics and calculator

U,rxvt-unicode,alternate terminal
U,urxvt-perls,perl scripts for urxvt
U,urxvt-resize-font-git,resize urxvt font
